from,to,year,type,pps,effect
RMA,CVE,2014,2,1,4
ERE,AT,2015,2,"1,2",4
SM,SAG,2013,2,"1,8",4
DB,FCBO,2014,2,"1,2",4
LDC,CAFC,2014,2,"0,8",4
EDF,USSA,2014,2,"0,8",4
IP,CCA,2014,2,"1,4",4
GPG,PFC,2012,2,1,4
CBE,PC36,2012,2,"1,2",4
DB,GCFC,2013,2,"1,8",4
AMA,PFC,2013,2,1,4
GSA,PFC,2013,2,"1,6",4
RB,SSCN,2013,2,"2,6",4
DL,CCA,2013,2,"1,2",4
GSA,PFC,2012,2,"0,8",4
VP,LR,2012,2,"1,8",4
VG,ACF,2012,2,2,4
LDC,GCFC,2012,2,"1,2",4
AMA,GCFC,2012,2,"0,67",4
MFI,CCA,2012,2,"1,4",4
ATE,NFC,2012,2,"1,6",4
EMO,NFC,2012,2,1,4
BM,PFC,2011,2,"1,4",4
DB,CCA,2011,2,1,4
CR,IM,2011,2,"1,4",4
DEM,PFC,2011,2,2,4
PMAR,GCFC,2011,2,"1,8",4
RP,ACMO,2022,2,"1,8",5
MZ,HV,2022,2,"1,6",5
RD,USL,2023,2,"2,2",5
ASO,VFC,2022,2,1,5
IT,HV,2021,2,"1,6",5
JM,ASR,2021,2,"2,4",5
LS,CCA,2021,2,"1,4",5
DB,GCFC,2020,2,"1,6",5
WZ,CCA,2020,2,"1,4",5
GI,ACF,2019,2,"1,6",5
FG,BC,2019,2,0,5
GI,EMFC,2018,2,2,5
AC,IM,2019,2,3,5
LDA,CVE,2018,2,"1,8",5
WM,FCT,2018,2,"2,2",5
GI,USSA,2017,2,2,5
MOD,UCA,2017,2,"2,4",5
DL,CCA,2017,2,"1,8",5
SVE,IM,2016,2,"2,25",5
DBO,PFC,2017,2,"1,6",5
SVE,IM,2017,2,2,5
LSP,IM,2017,2,"2,6",5
WM,FCT,2016,2,"2,2",5
CB,ACMI,2016,2,"1,6",5
DB,PFC,2016,2,"1,6",5
LDC,UCA,2016,2,"1,6",5
RODO,FCBO,2015,2,2,5
WZ,SAG,2014,2,2,5
CA,SSCN,2014,2,"2,4",5
GZO,CCA,2014,2,"1,4",5
GIF,CCA,2015,2,"1,4",5
GPG,GCFC,2013,2,2,5
ECO,CVE,2013,2,"1,2",5
ERE,LR,2014,2,"2,2",5
CS,ACMI,2014,2,2,5
DDC,USLI,2014,2,"1,4",5
MAP,CAFC,2014,2,"1,8",5
AST,UCA,2014,2,"2,4",5
ECO,CVE,2012,2,"1,4",5
AA,ASR,2013,2,2,5
RG,ASR,2013,2,3,5
SCO,ACNS,2012,2,"1,6",5
RMA,CAFC,2012,2,"1,6",5
ZZ,ASR,2012,2,"1,6",5
AST,IM,2012,2,"2,2",5
RODO,PC,2011,2,"1,8",5
DAR,FCCE,2011,2,"1,8",5
SPI,FCBO,2011,2,"1,8",5
MFI,CCA,2011,2,2,5
FLO,SP,2023,2,3,6
MS,JU,2019,2,"2,6",6
IT,UCA,2018,2,2,6
IP,CCA,2012,2,"2,4",6
WM,IM,2013,2,"2,6",6
